Code,Constituency name,Source URL,Recommendation
E14001182,Coventry South,https://stopthetories.vote/parl/coventry-south,Labour
S14000071,Cowdenbeath and Kirkcaldy,https://stopthetories.vote/parl/cowdenbeath-and-kirkcaldy,Labour or SNP
E14001183,Cramlington and Killingworth,https://stopthetories.vote/parl/cramlington-and-killingworth,Labour
E14001184,Crawley,https://stopthetories.vote/parl/crawley,Labour
E14001185,Crewe and Nantwich,https://stopthetories.vote/parl/crewe-and-nantwich,Labour
E14001186,Croydon East,https://stopthetories.vote/parl/croydon-east,Labour
E14001187,Croydon South,https://stopthetories.vote/parl/croydon-south,Labour
E14001188,Croydon West,https://stopthetories.vote/parl/croydon-west,Any
S14000072,Cumbernauld and Kirkintilloch,https://stopthetories.vote/parl/cumbernauld-and-kirkintilloch,SNP or Labour
E14001189,Dagenham and Rainham,https://stopthetories.vote/parl/dagenham-and-rainham,Labour
E14001190,Darlington,https://stopthetories.vote/parl/darlington,Labour
E14001191,Dartford,https://stopthetories.vote/parl/dartford,Labour
E14001192,Daventry,https://stopthetories.vote/parl/daventry,Labour
E14001193,Derby North,https://stopthetories.vote/parl/derby-north,Labour
E14001194,Derby South,https://stopthetories.vote/parl/derby-south,Labour
E14001195,Derbyshire Dales,https://stopthetories.vote/parl/derbyshire-dales,Labour
E14001196,Dewsbury and Batley,https://stopthetories.vote/parl/dewsbury-and-batley,Labour
E14001197,Didcot and Wantage,https://stopthetories.vote/parl/didcot-and-wantage,Lib Dem
E14001198,Doncaster Central,https://stopthetories.vote/parl/doncaster-central,Labour
E14001199,Doncaster East and the Isle of Axholme,https://stopthetories.vote/parl/doncaster-east-and-the-isle-of-axholme,Labour
E14001200,Doncaster North,https://stopthetories.vote/parl/doncaster-north,Labour
E14001201,Dorking and Horley,https://stopthetories.vote/parl/dorking-and-horley,Lib Dem
E14001202,Dover and Deal,https://stopthetories.vote/parl/dover-and-deal,Labour
E14001203,Droitwich and Evesham,https://stopthetories.vote/parl/droitwich-and-evesham,Labour
E14001204,Dudley,https://stopthetories.vote/parl/dudley,Labour
E14001205,Dulwich and West Norwood,https://stopthetories.vote/parl/dulwich-and-west-norwood,Any
S14000073,Dumfries and Galloway,https://stopthetories.vote/parl/dumfries-and-galloway,TBC
S14000074,"Dumfriesshire, Clydesdale and Tweeddale",https://stopthetories.vote/parl/dumfriesshire-clydesdale-and-tweeddale,TBC
S14000075,Dundee Central,https://stopthetories.vote/parl/dundee-central,SNP or Labour
S14000076,Dunfermline and Dollar,https://stopthetories.vote/parl/dunfermline-and-dollar,Labour or SNP
E14001206,Dunstable and Leighton Buzzard,https://stopthetories.vote/parl/dunstable-and-leighton-buzzard,Labour
W07000096,Dwyfor Meirionnydd,https://stopthetories.vote/parl/dwyfor-meirionnydd,Any
E14001207,Ealing Central and Acton,https://stopthetories.vote/parl/ealing-central-and-acton,Any
E14001208,Ealing North,https://stopthetories.vote/parl/ealing-north,Any
E14001209,Ealing Southall,https://stopthetories.vote/parl/ealing-southall,Any
E14001210,Earley and Woodley,https://stopthetories.vote/parl/earley-and-woodley,Labour
E14001211,Easington,https://stopthetories.vote/parl/easington,Labour
N05000005,East Antrim,https://stopthetories.vote/parl/east-antrim,TBC
E14001212,East Grinstead and Uckfield,https://stopthetories.vote/parl/east-grinstead-and-uckfield,TBC
E14001213,East Ham,https://stopthetories.vote/parl/east-ham,Any
E14001214,East Hampshire,https://stopthetories.vote/parl/east-hampshire,TBC
S14000077,East Kilbride and Strathaven,https://stopthetories.vote/parl/east-kilbride-and-strathaven,Labour or SNP
N05000006,East Londonderry,https://stopthetories.vote/parl/east-londonderry,TBC
S14000021,East Renfrewshire,https://stopthetories.vote/parl/east-renfrewshire,TBC
E14001215,East Surrey,https://stopthetories.vote/parl/east-surrey,TBC
E14001216,East Thanet,https://stopthetories.vote/parl/east-thanet,Labour
E14001217,East Wiltshire,https://stopthetories.vote/parl/east-wiltshire,TBC
E14001218,East Worthing and Shoreham,https://stopthetories.vote/parl/east-worthing-and-shoreham,Labour
E14001219,Eastbourne,https://stopthetories.vote/parl/eastbourne,Lib Dem
E14001220,Eastleigh,https://stopthetories.vote/parl/eastleigh,Lib Dem
S14000078,Edinburgh East and Musselburgh,https://stopthetories.vote/parl/edinburgh-east-and-musselburgh,SNP or Labour
S14000079,Edinburgh North and Leith,https://stopthetories.vote/parl/edinburgh-north-and-leith,TBC
S14000080,Edinburgh South,https://stopthetories.vote/parl/edinburgh-south,Any
S14000081,Edinburgh South West,https://stopthetories.vote/parl/edinburgh-south-west,SNP
S14000082,Edinburgh West,https://stopthetories.vote/parl/edinburgh-west,TBC
E14001221,Edmonton and Winchmore Hill,https://stopthetories.vote/parl/edmonton-and-winchmore-hill,Any
E14001222,Ellesmere Port and Bromborough,https://stopthetories.vote/parl/ellesmere-port-and-bromborough,Any
E14001223,Eltham and Chislehurst,https://stopthetories.vote/parl/eltham-and-chislehurst,Labour
E14001224,Ely and East Cambridgeshire,https://stopthetories.vote/parl/ely-and-east-cambridgeshire,TBC
E14001225,Enfield North,https://stopthetories.vote/parl/enfield-north,Any
E14001226,Epping Forest,https://stopthetories.vote/parl/epping-forest,Labour
E14001227,Epsom and Ewell,https://stopthetories.vote/parl/epsom-and-ewell,TBC
E14001228,Erewash,https://stopthetories.vote/parl/erewash,Labour
E14001229,Erith and Thamesmead,https://stopthetories.vote/parl/erith-and-thamesmead,Any
E14001230,Esher and Walton,https://stopthetories.vote/parl/esher-and-walton,Lib Dem
E14001231,Exeter,https://stopthetories.vote/parl/exeter,Any
E14001232,Exmouth and Exeter East,https://stopthetories.vote/parl/exmouth-and-exeter-east,TBC
S14000083,Falkirk,https://stopthetories.vote/parl/falkirk,TBC
E14001233,Fareham and Waterlooville,https://stopthetories.vote/parl/fareham-and-waterlooville,TBC
E14001234,Farnham and Bordon,https://stopthetories.vote/parl/farnham-and-bordon,Lib Dem
E14001235,Faversham and Mid Kent,https://stopthetories.vote/parl/faversham-and-mid-kent,Labour
E14001236,Feltham and Heston,https://stopthetories.vote/parl/feltham-and-heston,Labour
N05000007,Fermanagh and South Tyrone,https://stopthetories.vote/parl/fermanagh-and-south-tyrone,TBC
E14001237,Filton and Bradley Stoke,https://stopthetories.vote/parl/filton-and-bradley-stoke,Labour
E14001238,Finchley and Golders Green,https://stopthetories.vote/parl/finchley-and-golders-green,TBC
E14001239,Folkestone and Hythe,https://stopthetories.vote/parl/folkestone-and-hythe,Labour
E14001240,Forest of Dean,https://stopthetories.vote/parl/forest-of-dean,Labour
N05000008,Foyle,https://stopthetories.vote/parl/foyle,TBC
E14001241,Frome and East Somerset,https://stopthetories.vote/parl/frome-and-east-somerset,Lib Dem
E14001242,Fylde,https://stopthetories.vote/parl/fylde,Labour
E14001243,Gainsborough,https://stopthetories.vote/parl/gainsborough,Labour
E14001244,Gateshead Central and Whickham,https://stopthetories.vote/parl/gateshead-central-and-whickham,Labour
E14001245,Gedling,https://stopthetories.vote/parl/gedling,Labour
E14001246,Gillingham and Rainham,https://stopthetories.vote/parl/gillingham-and-rainham,Labour
